@relation '_Users_dawanit_Desktop_Homework_CS760_NaiveBayes_weka-weka.filters.unsupervised.attribute.StringToWordVector-R1-W1000-prune-rate-1.0-C-N0-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \" \\r\\n\\t.,;:\\\'\\\"()?!\"-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1'

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric
@attribute o numeric
@attribute p numeric
@attribute q numeric
@attribute r numeric
@attribute s numeric
@attribute space numeric
@attribute t numeric
@attribute u numeric
@attribute v numeric
@attribute w numeric
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute @@class@@ {s,j,e}

@data
{0 142,1 12,2 62,3 59,4 179,5 10,6 16,7 7,8 80,9 9,11 83,12 36,13 88,14 121,15 38,16 10,17 84,18 94,19 265,20 45,21 60,22 18,24 4,25 7,26 3}
{0 166,1 7,2 6,3 26,4 82,5 4,6 19,7 46,8 129,9 4,10 66,11 9,12 50,13 70,14 122,17 52,18 53,19 165,20 81,21 76,23 27,25 15,26 7,27 j}
{0 108,1 19,2 34,3 42,4 157,5 31,6 29,7 67,8 101,10 8,11 42,12 49,13 91,14 100,15 27,16 2,17 84,18 96,19 271,20 149,21 38,22 16,23 29,25 23,26 1,27 e}
{0 186,1 23,2 55,3 77,4 202,5 10,6 12,7 6,8 85,9 12,11 84,12 44,13 102,14 116,15 50,16 14,17 111,18 97,19 300,20 72,21 64,22 13,23 4,24 3,25 12,26 9}
{0 221,1 15,2 12,3 25,4 95,5 4,6 32,7 48,8 151,9 2,10 107,12 72,13 89,14 136,17 73,18 56,19 191,20 80,21 121,23 22,25 24,26 16,27 j}
{0 113,1 24,2 33,3 32,4 164,5 38,6 33,7 87,8 87,9 2,10 5,11 57,12 45,13 90,14 104,15 23,16 1,17 72,18 109,19 322,20 140,21 36,22 9,23 23,24 1,25 19,26 1,27 e}
{0 195,1 15,2 62,3 66,4 180,5 15,6 9,7 7,8 92,9 5,10 1,11 85,12 38,13 99,14 99,15 48,16 13,17 79,18 114,19 275,20 61,21 52,22 4,24 7,25 15,26 13}
{0 201,1 13,2 4,3 23,4 80,5 4,6 30,7 43,8 136,10 86,11 1,12 53,13 90,14 149,15 4,17 59,18 58,19 180,20 83,21 93,23 29,25 24,26 12,27 j}
{0 159,1 36,2 66,3 60,4 316,5 45,6 35,7 138,8 138,10 14,11 97,12 53,13 164,14 168,15 53,17 146,18 169,19 477,20 219,21 56,22 27,23 46,24 7,25 32,27 e}
{0 181,1 26,2 75,3 76,4 206,5 13,6 12,7 11,8 99,9 15,11 94,12 45,13 87,14 127,15 33,16 19,17 100,18 141,19 296,20 57,21 74,22 7,24 2,25 9,26 8}
{0 206,1 9,2 10,3 35,4 92,5 7,6 24,7 56,8 168,9 4,10 84,12 58,13 105,14 157,15 1,17 63,18 62,19 193,20 100,21 93,23 33,25 20,26 10,27 j}
{0 155,1 26,2 62,3 53,4 267,5 58,6 41,7 110,8 128,9 3,10 14,11 65,12 63,13 149,14 174,15 45,16 3,17 107,18 145,19 416,20 200,21 55,22 22,23 30,24 2,25 30,26 1,27 e}
{0 122,1 5,2 39,3 39,4 107,5 9,6 6,7 7,8 45,9 7,11 58,12 22,13 61,14 58,15 17,16 5,17 48,18 67,19 162,20 31,21 33,22 8,24 4,25 6,26 3}
{0 220,1 16,2 7,3 22,4 89,5 4,6 22,7 41,8 179,9 3,10 93,12 58,13 81,14 129,15 3,17 71,18 67,19 198,20 97,21 102,22 1,23 39,25 27,26 12,27 j}
{0 97,1 24,2 25,3 32,4 173,5 38,6 23,7 85,8 87,10 7,11 45,12 42,13 90,14 127,15 22,16 2,17 79,18 94,19 299,20 179,21 49,22 8,23 29,24 2,25 28,26 1,27 e}
{0 202,1 30,2 59,3 86,4 222,5 10,6 18,7 13,8 93,9 13,11 85,12 43,13 112,14 153,15 42,16 15,17 120,18 141,19 341,20 78,21 88,22 5,24 4,25 12,26 7}
{0 152,1 18,2 7,3 20,4 75,5 6,6 14,7 39,8 113,9 3,10 74,12 42,13 73,14 105,17 45,18 68,19 149,20 70,21 111,23 25,25 22,26 10,27 j}
{0 122,1 23,2 59,3 36,4 196,5 35,6 15,7 89,8 103,10 8,11 48,12 38,13 106,14 111,15 25,16 1,17 87,18 124,19 348,20 194,21 58,22 15,23 24,24 3,25 25,27 e}
{0 184,1 22,2 55,3 75,4 195,5 7,6 8,7 7,8 81,9 14,10 1,11 96,12 43,13 87,14 128,15 49,16 15,17 113,18 107,19 279,20 64,21 50,22 13,24 4,25 4,26 5}
{0 186,1 9,2 8,3 19,4 100,5 5,6 24,7 54,8 155,9 4,10 81,11 2,12 68,13 70,14 131,17 68,18 66,19 181,20 103,21 106,22 1,23 34,25 19,26 7,27 j}
{0 164,1 32,2 53,3 57,4 311,5 55,6 51,7 140,8 140,9 3,10 6,11 85,12 64,13 139,14 182,15 53,16 3,17 141,18 186,19 498,20 225,21 65,22 31,23 47,24 4,25 38,26 2,27 e}
{0 71,1 6,2 19,3 27,4 72,5 2,6 4,7 2,8 29,9 5,11 41,12 17,13 27,14 29,15 20,16 6,17 34,18 53,19 99,20 17,21 24,22 2,24 1,25 4,26 2}
{0 197,1 18,2 6,3 16,4 82,5 2,6 24,7 37,8 155,9 3,10 88,12 70,13 87,14 143,17 63,18 62,19 182,20 100,21 104,23 39,25 14,26 12,27 j}
{0 199,1 47,2 70,3 86,4 352,5 78,6 47,7 143,8 170,9 1,10 15,11 124,12 59,13 191,14 236,15 38,16 3,17 147,18 194,19 618,20 272,21 86,22 35,23 57,24 2,25 43,26 2,27 e}
{0 135,1 7,2 48,3 51,4 150,5 10,6 13,7 3,8 70,9 12,10 1,11 74,12 33,13 67,14 89,15 37,16 13,17 73,18 90,19 232,20 38,21 51,22 11,24 5,25 17,26 5}
{0 181,1 9,2 3,3 33,4 74,5 3,6 18,7 29,8 108,10 79,12 48,13 73,14 124,15 2,17 59,18 43,19 151,20 61,21 86,23 33,25 20,26 4,27 j}
{0 116,1 26,2 53,3 46,4 180,5 27,6 35,7 69,8 108,9 4,10 6,11 45,12 38,13 122,14 103,15 30,16 2,17 85,18 127,19 326,20 141,21 56,22 14,23 27,24 1,25 27,26 1,27 e}
{0 242,1 19,2 92,3 89,4 249,5 18,6 19,7 17,8 108,9 14,10 1,11 124,12 58,13 117,14 166,15 62,16 13,17 123,18 149,19 386,20 78,21 80,22 13,24 3,25 19,26 4}
{0 211,1 23,2 7,3 22,4 83,5 8,6 20,7 44,8 140,9 4,10 88,11 2,12 68,13 88,14 154,16 1,17 81,18 57,19 192,20 92,21 105,22 1,23 24,25 20,26 11,27 j}
{0 42,1 18,2 18,3 15,4 101,5 11,6 15,7 40,8 30,9 2,10 2,11 21,12 13,13 44,14 47,15 17,17 49,18 45,19 142,20 61,21 19,22 10,23 5,24 2,25 17,26 2,27 e}
{0 133,1 15,2 35,3 44,4 145,5 11,6 9,7 11,8 59,9 13,11 70,12 37,13 64,14 86,15 30,16 10,17 83,18 89,19 214,20 48,21 46,22 3,24 2,25 7,26 4}
{0 223,1 20,2 10,3 27,4 88,5 6,6 22,7 49,8 157,9 4,10 92,11 2,12 55,13 99,14 125,15 2,17 51,18 62,19 181,20 86,21 92,23 36,25 16,26 11,27 j}
